trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 1.0}",25,7,-48.20397929554875,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
2,False,"{'a': 0.95, 'e': 0.25}",25,3,-117.37880440967585,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 2}",1
3,False,"{'a': 0.95, 'e': 0.1111111111111111}",20,4,-34.796808126174476,"{0: 8, 1: 6, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.95, 'e': 0.0625}",20,0,-26.71678499436657,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
5,False,"{'a': 0.95, 'e': 0.04}",20,8,-24.929389298506255,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.95, 'e': 0.027777777777777776}",25,0,-50.01314152505252,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.95, 'e': 0.02040816326530612}",25,0,-17.628955231309355,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.95, 'e': 0.015625}",25,7,21.233654858877507,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.95, 'e': 0.012345679012345678}",20,2,20.018175207160738,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.95, 'e': 0.01}",25,0,21.657243225397416,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.008264462809917356}",25,0,-11.87384479841547,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.006944444444444444}",20,10,4.507754368948113,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.005917159763313609}",20,14,10.334600788487801,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.00510204081632653}",20,0,-21.662082649441434,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.95, 'e': 0.0044444444444444444}",30,2,18.322407114131817,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.95, 'e': 0.00390625}",30,0,30.90495684774298,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.95, 'e': 0.0034602076124567475}",25,20,9.485930220751253,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.95, 'e': 0.0030864197530864196}",30,15,19.31127615315215,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.002770083102493075}",20,0,23.599999120298207,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.0025}",20,6,23.90281148365366,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
