trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.99419064908308,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.34518640323714,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,13,-47.466089808137035,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,1,-52.21457846191523,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.60575077906151,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.68843490897729,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.61820370517368,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.60504756815035,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.59550619534296,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.7161033607354,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.41592480624814,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.47864989529185,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.28727679707154,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,11,-30.90543563647615,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-186.11244612571497,"{0: 21, 1: 3, 2: 6, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.45480763321025,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.24596267942486,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,9,-34.38236419908971,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.98607283681184,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.4967019752529,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.63554038273355,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,11,-38.71621194775941,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-82.92510729374445,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.56137088405669,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-210.51931148776353,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.28950153895872,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.75368392287061,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-185.0856756384113,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.80221155353891,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.51401323039525,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
